Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Cdc42 Signaling	0	0.15	-0.218	"ARPC4,ARPC5,CD247,CDC42,CDC42BPA,CFL2,DIAPH3,EXOC2,EXOC5,FGD3,FNBP1L,GSK3B,HLA-DMB,ITGB1,LIMK1,MAPK1,MAPK10,MAPK14,MAPK8,MPRIP,PAK2,PPP1CB,RALA,RASA1,TNK2"
B Cell Development	0	0.0833	NaN	"CD79B,CD86,HLA-DMB"
Neuroprotective Role of THOP1 in Alzheimer's Disease	0	0.128	1.732	"APP,CMA1,CREB1,ECE2,F7,HTRA2,KLK15,NFYA,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRSS8,TMPRSS11B"
Nur77 Signaling in T Lymphocytes	0	0.119	NaN	"CALM1 (includes others),CD247,CD86,HLA-DMB,MAP3K2,MAP3K3,PPP3R1"
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0	0.116	NaN	"IL12B,IL17A,IL1F10,IL1RN,IL36RN"
OX40 Signaling Pathway	0	0.0778	-1.633	"CD247,HLA-DMB,MAPK10,MAPK8,NFKBIB,NFKBIE,TRAF3"
Intrinsic Prothrombin Activation Pathway	0	0.119	1	"COL3A1,FGB,FGG,KLK15,THBD"
Assembly of RNA Polymerase III Complex	0	0.154	NaN	"GTF3C2,GTF3C4"
Role of IL-17A in Psoriasis	0	0.0769	NaN	IL17A
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	0	0.111	NaN	"IL12B,IL17A"
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	0	0.087	NaN	"IL12B,IL17A"
"Role of JAK1, JAK2 and TYK2 in Interferon Signaling"	0	0.0833	NaN	"JAK2,STAT3"
Hematopoiesis from Pluripotent Stem Cells	0	0.0816	NaN	"CD247,CSF1,IL11,IL12B"
Hematopoiesis from Multipotent Stem Cells	0	0.0833	NaN	CSF1
Bupropion Degradation	0	0.12	NaN	"CYP1B1,CYP2J2,POR"
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	0	0.105	1	"DIO2,EXT2,LARGE1,LARGE2"
Nicotine Degradation III	0	0.107	1.633	"CYP1B1,CYP2J2,EXT2,LARGE1,LARGE2,POR"
Dopamine Degradation	0	0.1	NaN	"ALDH1A3,ALDH1B1,MAOB"
Chondroitin Sulfate Degradation (Metazoa)	0	0.0625	NaN	CEMIP2
Pyrimidine Ribonucleotides De Novo Biosynthesis	0	0.14	0	"AK4,DDX3X,ENTPD6,ENTPD7,ENTPD8,NME1"
Glutaryl-CoA Degradation	0	0.0625	NaN	L3HYPDH
Isoleucine Degradation I	0	0.0667	NaN	BCAT1
Glutathione Redox Reactions I	0	0.0417	NaN	PRDX6
Ubiquinol-10 Biosynthesis (Eukaryotic)	0	0.0588	NaN	MICAL3
Superpathway of Citrulline Metabolism	0	0.0667	NaN	ALDH18A1
Superpathway of Serine and Glycine Biosynthesis I	0	0.143	NaN	PSAT1
Melatonin Degradation I	0	0.1	1.633	"CYP1B1,CYP2J2,EXT2,LARGE1,LARGE2,POR"
Phosphatidylethanolamine Biosynthesis II	0	0.111	NaN	ETNK1
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	0	0.136	NaN	"AK4,DTYMK,NME1"
Estrogen Biosynthesis	0	0.122	2.236	"CYP1B1,CYP2J2,HSD17B12,HSD17B7,POR"
Histidine Degradation III	0	0.125	NaN	MTHFD1
Glutathione-mediated Detoxification	0	0.0625	NaN	"GSTM5,HPGDS"
NAD Phosphorylation and Dephosphorylation	0	0.0769	NaN	ACP1
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	0	0.143	NaN	PDHB
Dermatan Sulfate Degradation (Metazoa)	0	0.0588	NaN	CEMIP2
Pentose Phosphate Pathway	0	0.1	NaN	TALDO1
Nicotine Degradation II	0	0.0923	1.633	"CYP1B1,CYP2J2,EXT2,LARGE1,LARGE2,POR"
Citrulline Biosynthesis	0	0.111	NaN	ALDH18A1
Mevalonate Pathway I	0	0.143	NaN	"HMGCR,HMGCS2"
Valine Degradation I	0	0.0556	NaN	BCAT1
Superoxide Radicals Degradation	0	0.125	NaN	CYGB
Leucine Degradation I	0	0.111	NaN	BCAT1
"Phenylalanine Degradation IV (Mammalian, via Side Chain)"	0	0.0714	NaN	MAOB
"Bile Acid Biosynthesis, Neutral Pathway"	0	0.0769	NaN	AMACR
Colanic Acid Building Blocks Biosynthesis	0	0.143	NaN	"GMPPB,MPI"
?-glutamyl Cycle	0	0.0909	NaN	GGCT
Tryptophan Degradation III (Eukaryotic)	0	0.13	NaN	"HAAO,IDO1,L3HYPDH"
Ketolysis	0	0.1	NaN	BDH1
Pyrimidine Ribonucleotides Interconversion	0	0.146	0	"AK4,DDX3X,ENTPD6,ENTPD7,ENTPD8,NME1"
Purine Nucleotides De Novo Biosynthesis II	0	0.0909	NaN	IMPDH1
Glycolysis I	0	0.115	NaN	"BPGM,PKLR,PKM"
Gluconeogenesis I	0	0.0385	NaN	BPGM
Histamine Degradation	0	0.118	NaN	"ALDH1A3,ALDH1B1"
Dolichyl-diphosphooligosaccharide Biosynthesis	0	0.1	NaN	ALG6
Adenosine Nucleotides Degradation II	0	0.133	NaN	"NT5C,NT5C1B"
Superpathway of Melatonin Degradation	0	0.108	1.89	"CYP1B1,CYP2J2,EXT2,LARGE1,LARGE2,MAOB,POR"
Histidine Degradation VI	0	0.0667	NaN	MICAL3
Stearate Biosynthesis I (Animals)	0	0.149	-0.378	"ACSL1,ACSL4,ACSL5,ACSL6,SLC27A4,SRD5A3,ZADH2"
Glycogen Biosynthesis II (from UDP-D-Glucose)	0	0.143	NaN	EPM2A
Glycoaminoglycan-protein Linkage Region Biosynthesis	0	0.143	NaN	B4GALT7
Pregnenolone Biosynthesis	0	0.0769	NaN	MICAL3
Acetone Degradation I (to Methylglyoxal)	0	0.133	1	"CYP1B1,CYP2J2,POR,ZADH2"
Putrescine Degradation III	0	0.143	NaN	"ALDH1A3,ALDH1B1,MAOB"
Glucocorticoid Biosynthesis	0	0.154	NaN	"HSD3B1,HSD3B2"
Fatty Acid ?-oxidation	0	0.15	NaN	"ALDH1A3,ALDH1B1,PTGS2"
Folate Transformations I	0	0.111	NaN	MTHFD1
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	0	0.111	NaN	"HMGCR,HMGCS2"
Agranulocyte Adhesion and Diapedesis	0	0.135	NaN	"CCL1,CCL16,CCL22,CDH5,CLDN11,CLDN4,CXCL13,GLG1,GNAI2,GNAI3,HRH1,IL1F10,IL1RN,IL36RN,ITGA1,ITGB1,MMP14,MMP15,MMP16,MMP19,MMP24,MYH11,PODXL,RDX,SELPLG,VCAM1"
Granulocyte Adhesion and Diapedesis	0	0.15	NaN	"CCL1,CCL16,CCL22,CDH5,CLDN11,CLDN4,CXCL13,GLG1,GNAI2,GNAI3,HRH1,IL1F10,IL1RAPL1,IL1RN,IL36RN,ITGA1,ITGB1,MMP14,MMP15,MMP16,MMP19,MMP24,RDX,SDC1,SDC2,SELPLG,VCAM1"
Oxidative Phosphorylation	0	0.0734	1.414	"ATP5F1C,ATP5MC3,COX15,COX17,COX6B1,COX7A2L,MT-ND4L,SDHD"
Interferon Signaling	0	0.0556	NaN	"JAK2,MED14"
Endoplasmic Reticulum Stress Pathway	0	0.143	NaN	"DNAJC3,MAPK8,MBTPS2"
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	0	0.122	-1.342	"ATM,CDKN1A,HIPK2,PLK1,WEE1,YWHAG"
Antigen Presentation Pathway	0	0.0769	NaN	"CIITA,HLA-DMB,TAP2"
Phagosome Maturation	0	0.152	NaN	"ATP6AP1,ATP6V0C,ATP6V0D1,ATP6V0E2,ATP6V1C1,ATP6V1D,CTSD,DYNC1I1,GOSR1,LAMP2,NAPG,NCF1,NOX1,PIKFYVE,PRDX6,RAB5B,SNAP25,TUBA4A,VPS18,VPS37A,VPS37C,VTI1A,ZBTB12"
Inflammasome pathway	0	0.1	NaN	"CASP5,CASP8"
Th17 Activation Pathway	0	0.121	-0.302	"IL12B,IL17A,IRAK2,IRF4,JAK2,NFAT5,NFATC2,NFATC3,RORA,STAT3,STAT4"
SPINK1 Pancreatic Cancer Pathway	0	0.1	-0.816	"CPD,CPE,F2RL1,KLK15,SMAD2,SMAD3"
Complement System	0	0.108	NaN	"C1S,C7,CD59,SERPING1"
